Time,Requested_Electric_Power,Requested_Thermal_Power
00:00:00,132,270.0230141
00:30:00,132.16,280.0230141
01:00:00,132.48,281.4662933
01:30:00,132,302.4662933
02:00:00,130.4,288.5827179
02:30:00,130.24,292.5827179
03:00:00,131.68,298.2596855
03:30:00,131.2,274.2596855
04:00:00,130.88,278.4145889
04:30:00,130.4,282.4145889
05:00:00,154.08,350.6821747
05:30:00,164.32,400.6821747
06:00:00,216.16,440.1338501
06:30:00,365.84,532.1338501
07:00:00,326.48,550.8729019
07:30:00,332.88,624.8729019
08:00:00,334.96,774.437088
08:30:00,331.44,803.437088
09:00:00,329.36,808.7448349
09:30:00,321.52,808.7448349
10:00:00,326.32,742.5558014
10:30:00,306.48,742.5558014
11:00:00,306.24,781.7919083
11:30:00,279.52,781.7919083
12:00:00,269.28,788.9424057
12:30:00,246.4,788.9424057
13:00:00,238.24,820.1129303
13:30:00,252.24,820.1129303
14:00:00,240.16,778.9942245
14:30:00,244.32,778.9942245
15:00:00,255.2,746.9077148
15:30:00,245.92,746.9077148
16:00:00,248.8,836.3961411
16:30:00,242.88,836.3961411
17:00:00,245.6,858.7932205
17:30:00,242.08,858.7932205
18:00:00,221.92,820.8875809
18:30:00,237.6,820.8875809
19:00:00,227.04,820.71521
19:30:00,214.88,820.71521
20:00:00,204.32,806.1898499
20:30:00,172.64,806.1898499
21:00:00,149.92,783.6559982
21:30:00,143.68,783.6559982
22:00:00,138.72,707.6938477
22:30:00,134.88,707.6938477
23:00:00,131.84,663.6463776
23:30:00,132.16,663.6463776
